folder,image_count,total_size_mb,avg_size_kb,min_size_kb,max_size_kb,jpeg_count,png_count,bmp_count,tif_tiff_count,webp_count
CS-0-100,17,2.354,141.769,79.538,200.932,17,0,0,0,0
CS-0-200,14,1.591,116.338,81.489,156.226,14,0,0,0,0
CS-0-300,9,0.959,109.149,73.734,171.569,9,0,0,0,0
CS-10-100,13,1.32,103.955,71.212,147.877,13,0,0,0,0
CS-10-200,12,1.294,110.382,73.21,148.507,12,0,0,0,0
CS-10-300,10,1.095,112.119,73.417,155.13,10,0,0,0,0
CS-15-100,12,1.221,104.185,75.105,151.618,12,0,0,0,0
CS-15-200,10,0.938,96.044,70.896,123.253,10,0,0,0,0
CS-15-300,10,1.11,113.698,77.759,172.603,10,0,0,0,0
CS-5-100,14,1.628,119.105,72.382,183.321,14,0,0,0,0
CS-5-200,15,1.706,116.477,85.451,138.648,15,0,0,0,0
CS-5-300,9,1.218,138.553,83.423,194.768,9,0,0,0,0
__TOTAL__,145,16.433,116.052,,,,,,,
